Stadium,Latitude,Longitude,City,State,Team,Conference,Capacity,Record,Built,Surface
Frank Howard Field at Clemson Memorial Stadium,34.6790796,-82.8433227,Clemson,SC,Clemson,ACC,"81,500","86,092(October 10, 1999 vs. Florida State)[65]",1942,Grass
Fred C. Yager Stadium,39.5195186,-84.7329379,Oxford,OH,Miami,MAC,"24,286","30,087(October 2, 1999 vs. Marshall)[66]",1983,FieldTurf
Gaylord Family – Oklahoma Memorial Stadium at Owen Field,35.2058537,-97.4423145,Norman,OK,Oklahoma,Big 12,"80,126","88,308(November 11, 2017 vs. Texas Christian University)",1923,Grass
Gerald J. Ford Stadium,32.8377223,-96.7827859,University Park,TX,SMU,American,"32,000","35,481(September 24, 2010 vs. TCU)",2000,FieldTurf
Glass Bowl,41.6572818,-83.61358159999999,Toledo,OH,Toledo,MAC,"26,038","36,852(October 27, 2001 vs. Navy)",1937,FieldTurf
Hancock Whitney Stadium,30.6966759,-88.1918231,Mobile,AL,South Alabama,Sun Belt,"25,450","6,000*(*COVID-19 restriction)",2020,FieldTurf
Hard Rock Stadium,25.9579665,-80.2388604,Miami Gardens,FL,Miami,ACC,"65,326","80,120(January 7, 2013 2013 BCS National Championship Game, Alabama vs. Notre Dame)",1987,Platinum TE Paspalum
Heinz Field,40.4467648,-80.0157603,Pittsburgh,PA,Pittsburgh,ACC,"68,400","69,983(September 10, 2016 vs. Penn State)",2001,Grass
Houchens Industries–L. T. Smith Stadium at Jimmy Feix Field,36.9847323,-86.4594168,Bowling Green,KY,Western Kentucky,C-USA,"22,113","23,252(September 22, 2012 vs. Southern Miss)",1968,FieldTurf
InfoCision Stadium–Summa Field,41.07258849999999,-81.5083528,Akron,OH,Akron,MAC,"30,000","27,881[72]",2009,ProGrass Artificial Turf
Jack Trice Stadium,42.0139639,-93.6359306,Ames,IA,Iowa State,Big 12,"61,500","61,500(multiple times)[74]",1975,Grass
Jim Wacker Field at Bobcat Stadium,29.8910195,-97.9255484,San Marcos,TX,Texas State,Sun Belt,"30,000","33,006(September 8, 2012 vs. Texas Tech)",1981,FieldTurf Duraspine Pro
Joan C. Edwards Stadium,38.4249223,-82.4210186,Huntington,WV,Marshall,C-USA,"38,019","41,382(September 10, 2010 vs. West Virginia)[76]",1991,FieldTurf
Joe Aillet Stadium,32.5321181,-92.6559176,Ruston,LA,Louisiana Tech,C-USA,"28,109","28,714(September 13, 1997 vs. Northeast Louisiana)[77]",1968,FieldTurf
John O'Quinn Field at TDECU Stadium,29.722006,-95.34917399999999,Houston,TX,Houston,American,"40,000","42,159(November 14, 2015 vs. Memphis)",2014,Act Global UBU Speed Series S5-M Synthetic Turf
"Johnny ""Red"" Floyd Stadium",35.8511526,-86.3681817,Murfreesboro,TN,Middle Tennessee,C-USA,"31,000","30,502(September 10, 2011) vs. Georgia Tech)",1933,Synthetic Turf
Jonah Field at War Memorial Stadium,41.3116985,-105.5682847,Laramie,WY,Wyoming,Mountain West,"29,181","34,745(October 18, 1997 vs. Colorado State)[79]",1950,FieldTurf
Jones AT&T Stadium,32.8999998,-80.02066970000001,Lubbock,TX,Texas Tech,Big 12,"60,862","61,836(November 2, 2013 vs. Oklahoma State)",1947,FieldTurf
JPS Field at Malone Stadium,32.5309786,-92.066009,Monroe,LA,Louisiana-Monroe,Sun Belt,"30,427","31,175(September 21, 2012 vs. Baylor)[82]",1978,FieldTurf
Kelly/Shorts Stadium,43.5776264,-84.7708509,Mount Pleasant,MI,Central Michigan,MAC,"30,255","35,127(September 8, 2012 vs. Michigan State)",1972,FieldTurf
Kenan Memorial Stadium,35.9069535,-79.0478649,Chapel Hill,NC,North Carolina,ACC,"51,000","62,000(November 8, 1997 vs. Florida State)",1927,AstroTurf
Kidd Brewer Stadium,36.2116003,-81.685497,Boone,NC,Appalachian State,Sun Belt,"30,000","35,126(September 23, 2017 vs. Wake Forest)",1962,FieldTurf
Kinnick Stadium,41.6586542,-91.5510973,Iowa City,IA,Iowa,Big Ten,"70,585","70,585(multiple times)[85]",1929,FieldTurf
Kornblau Field at S.B. Ballard Stadium,36.8889026,-76.30488919999999,Norfolk,VA,Old Dominion,C-USA,"22,480","20,532(September 22, 2018 vs. Virginia Tech)",1936,AstroTurf GameDay Grass 3D
Kroger Field at C.M. Newton Grounds,38.0227476,-84.5051762,Lexington,KY,Kentucky,SEC,"61,000","71,024(October 20, 2007 vs. Florida)[89]",1973,Artificial Turf
Kyle Field,30.6098899,-96.340373,College Station,TX,Texas A&M,SEC,"102,733","110,633(October 11, 2014 vs. Ole Miss)[91]",1927,Grass
Lane Stadium/Worsham Field,37.2199873,-80.4180643,Blacksburg,VA,Virginia Tech,ACC,"66,233","66,233(multiple times)",1965,Grass
LaVell Edwards Stadium,40.2574467,-111.6545153,Provo,UT,BYU,Independent,"63,470","66,247(October 16, 1993 vs. Notre Dame)[92]",1964,Grass
Liberty Bowl Memorial Stadium,35.1210966,-89.97742749999999,Memphis,TN,Memphis,American,"62,380","65,885(November 9, 1996 vs. Tennessee)[93]",1965,AstroTurf
Lincoln Financial Field,39.9013695,-75.16752149999999,Philadelphia,PA,Temple,American,"68,532","69,176(September 5, 2015 vs. Penn State)",2003,Desso GrassMaster
Los Angeles Memorial Coliseum,34.0140526,-118.2878754,Los Angeles,CA,Southern California,Pac-12,"77,500","105,236(1947, USC vs. Notre Dame)[94]",1923,Grass
Mackay Stadium,39.5469459,-119.8175435,Reno,NV,Nevada,Mountain West,"26,000","33,391(October 28, 1995 vs. UNLV)",1966,FieldTurf
Martin Stadium,30.8346728,-83.3242523,Pullman,WA,Washington State,Pac-12,"32,248","40,306(November 15, 1997 vs. Stanford)",1972,FieldTurf
McColl–Richardson Field at Jerry Richardson Stadium,35.3104931,-80.7401126,Charlotte,NC,Charlotte,C-USA,"15,314","19,151(September 8, 2018 vs. Appalachian State)",2013,Matrix Artificial Turf
McLane Stadium,31.5582015,-97.1156702,Waco,TX,Baylor,Big 12,"45,140","50,223(November 16, 2019 vs. Oklahoma)",2014,Matrix Artificial Turf
Memorial Stadium,38.9358491,-92.3332009,Champaign,IL,Illinois,Big Ten,"60,670","78,297(September 8, 1984 vs. Missouri)[96]",1923,FieldTurf
Memorial Stadium,38.9358491,-92.3332009,Bloomington,IN,Indiana,Big Ten,"52,959","56,223(November 22, 1969 vs. Purdue)[99]",1960,FieldTurf Revolution 360
"Memorial Stadium, Tom Osborne Field",40.8206792,-96.7056303,Lincoln,NE,Nebraska,Big Ten,"85,458","91,585(September 20, 2014 vs. Miami (FL))[100]",1923,FieldTurf
Merlin Olsen Field at Maverik Stadium,41.7517392,-111.8115885,Logan,UT,Utah State,Mountain West,"25,513","33,119 (October 4, 1996 vs. BYU)",1968,AstroTurf GameDay Grass 3D60 Extreme
Michigan Stadium,42.2658365,-83.74869559999999,Ann Arbor,MI,Michigan,Big Ten,"107,601","115,109(September 7, 2013 vs. Notre Dame)[103]",1927,FieldTurf Duraspine
Mountaineer Field at Milan Puskar Stadium,39.65014670000001,-79.9550833,Morgantown,WV,West Virginia,Big 12,"60,000","70,222(November 20, 1993 vs. Miami (FL))[104]",1980,FieldTurf
Navy–Marine Corps Memorial Stadium,38.9847806,-76.5070716,Annapolis,MD,Navy,American,"34,000","38,792(October 7, 2017 vs. Air Force)",1959,FieldTurf Revolution
Neyland Stadium,35.9550195,-83.9250108,Knoxville,TN,Tennessee,SEC,"102,455","109,061(September 18, 2004 vs. Florida)[107]",1921,Grass
Nippert Stadium,39.131219,-84.516233,Cincinnati,OH,Cincinnati,American,"40,000","40,124(October 24, 2015 vs. UConn)",1915,UBU Sports Speed M6-M
Notre Dame Stadium,41.6983981,-86.233916,Notre Dame,IN,Notre Dame,Independent,"77,622","80,795(multiple times)[109]",1930,FieldTurf
Ohio Stadium,40.0016627,-83.01972769999999,Columbus,OH,Ohio State,Big Ten,"102,780","110,045(November 26, 2016 vs. University of Michigan)[112]",1922,FieldTurf
Pat Dye Field at Jordan–Hare Stadium,32.6022279,-85.4890772,Auburn,AL,Auburn,SEC,"87,451","87,451(multiple times)[B 1]",1939,Grass
Peden Stadium,39.3210165,-82.1029537,Athens,OH,Ohio,MAC,"24,000","25,893(September 8, 2012 vs. New Mexico State)",1929,FieldTurf
Pratt & Whitney Stadium at Rentschler Field,37.6729144,-97.4336587,East Hartford,CT,UConn,Independent,"40,000","42,704 (9/21/13 vs. #15 Michigan)[117]",2003,Kentucky Bluegrass
Protective Stadium,33.5277899,-86.80919659999999,Birmingham,AL,UAB,C-USA,"47,100",,2021,Artificial
Raymond James Stadium,27.9758691,-82.5033344,Tampa,FL,South Florida,American,"65,857","71,921(January 28, 2001, Super Bowl XXXV, Baltimore Ravens vs. New York Giants)[121]",1998,Grass
"Donald W. Reynolds Razorback Stadium, Frank Broyles Field",36.0680503,-94.1789239,Fayetteville,AR,Arkansas,SEC,"76,212","82,808(September 25, 2010 vs. Alabama)",1938,PowerBlade HP
Reser Stadium,44.5595528,-123.2813972,Corvallis,OR,Oregon State,Pac-12,"43,154","47,249(November 24, 2012 vs. Oregon)",1953,FieldTurf
Riccardo Silva Stadium,25.7525026,-80.37789389999999,Miami,FL,FIU,C-USA,"23,500","22,682(October 1, 2011 vs. Duke)",1995,FieldTurf
Rice Stadium,29.7162831,-95.4093202,Houston,TX,Rice,C-USA,"47,000","73,000(multiple times)",1950,AstroTurf 3D60H Synthetic Turf
Rice–Eccles Stadium,40.76002099999999,-111.8488493,Salt Lake City,UT,Utah,Pac-12,"47,825","46,768(September 3, 2015 vs. Michigan)[125]",1998,FieldTurf CoolPlay
Rose Bowl Stadium,34.1613284,-118.1676462,Pasadena,CA,UCLA,Pac-12,"90,888","106,869(January 1, 1973, Rose Bowl, USC vs. Ohio State)[127]",1921,Grass
Ross–Ade Stadium,40.434359,-86.9184385,West Lafayette,IN,Purdue,Big Ten,"57,236","71,629(November 22, 1980 vs. Indiana)[128]",1924,Grass
Ryan Field,42.0653994,-87.6924751,Evanston,IL,Northwestern,Big Ten,"47,130","55,752(October 27, 1962 vs. Notre Dame)",1926,Grass
Rynearson Stadium,42.2558564,-83.64737439999999,Ypsilanti,MI,Eastern Michigan,MAC,"30,200","26,188(November 28, 2008 vs. Central Michigan)",1969,FieldTurf
Sanford Stadium,33.9498405,-83.3734283,Athens,GA,Georgia,SEC,"92,746","93,246 (2019 Vs. Notre Dame)[130]",1929,Grass
Scheumann Stadium,40.2160002,-85.4167848,Muncie,IN,Ball State,MAC,"22,500","23,861[131]",1967,FieldTurf
SHI Stadium,40.5136111,-74.4652778,Piscataway,NJ,Rutgers,Big Ten,"52,454","53,774 (September 13, 2014 vs. Penn State",1994,FieldTurf
Skelly Field at H.A. Chapman Stadium,36.1489569,-95.9437969,Tulsa,OK,Tulsa,American,"30,000","47,350(September 26, 1987 vs. Oklahoma)[134]",1930,FieldTurf
Sonny Lubick Field at Canvas Stadium,40.5698925,-105.0884348,Fort Collins,CO,Colorado State,Mountain West,"41,200","41,000",2017,Shaw Sports Artificial Turf
Spartan Stadium,35.9359887,-95.87734549999999,East Lansing,MI,Michigan State,Big Ten,"75,005","80,401(September 22, 1990 vs. Notre Dame)[136][137]",1923,Grass
Stanford Stadium,37.4345169,-122.1611221,Stanford,CA,Stanford,Pac-12,"50,424","51,607[139](October 9, 2010 vs. USC)",1921,Grass
Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,29.6497259,-82.3487188,Gainesville,FL,Florida,SEC,"88,548","90,916(November 28, 2015 vs. Florida State)[142]",1930,Grass
Sun Bowl Stadium,31.7733442,-106.5079256,El Paso,TX,UTEP,C-USA,"51,500","53,415[143](September 6, 2008 vs. Texas)",1963,FieldTurf
Huntington Bank Stadium,44.976525,-93.22454619999999,Minneapolis,MN,Minnesota,Big Ten,"50,805","54,147(September 3, 2015 vs. TCU)",2009,FieldTurf
Tiger Stadium,30.412035,-91.18381629999999,Baton Rouge,LA,LSU,SEC,"102,321","102,321 (multiple times)[B 2]",1924,Grass
Truist Field,36.1314553,-80.2554475,Winston-Salem,NC,Wake Forest,ACC,"31,500","37,623(November 13, 2004 vs. North Carolina)[148]",1968,FieldTurf
UB Stadium,42.99910209999999,-78.7775065,Amherst,NY,Buffalo,MAC,"29,013","29,795 (August 31, 2006 vs. Temple)[150]",1993,A-Turf Titan
Vanderbilt Stadium,36.1438717,-86.80894099999999,Nashville,TN,Vanderbilt,SEC,"40,350","41,448",1922,Shaw Sports Legion 46
Vaught–Hemingway Stadium at Hollingsworth Field,34.3619355,-89.5342191,Oxford,MS,Mississippi,SEC,"64,038","66,176(September 17, 2016 vs. Alabama)[151]",1915,Grass
Veterans Memorial Stadium at Larry Blakeney Field,31.79955649999999,-85.95183279999999,Troy,AL,Troy,Sun Belt,"30,402","29,013(September 15, 2012 vs. Mississippi State)",1950,ProGrass
Waldo Stadium,42.2857559,-85.6010897,Kalamazoo,MI,Western Michigan,MAC,"30,200","36,361(September 16, 2000 vs. Indiana State)",1939,FieldTurf
Warren McGuirk Alumni Stadium,42.377271,-72.5360405,Hadley,MA,UMass,Independent,"17,000","20,000(November 25, 1972 vs. Boston College)",1965,FieldTurf
Wayne Day Family Field at Carter–Finley Stadium,35.8008001,-78.7195655,Raleigh,NC,NC State,ACC,"57,583","57,583(multiple times)",1966,Tifway 419 Bermuda Grass
Williams-Brice Stadium,33.9730884,-81.0191854,Columbia,SC,South Carolina,SEC,"77,559","85,199(10/6/12 vs. Georgia)",1934,Grass
